time,open,high,low,close,volume,ticker
2021-08-26,12080,12100,11940,12000,2099200,TCH
2021-08-27,11940,12100,11780,12080,3817000,TCH
2021-08-30,12530,12600,12270,12470,13644300,TCH
2021-08-31,12470,13030,12270,12790,15861400,TCH
2021-09-01,12770,12990,12660,12890,7135100,TCH
2021-09-06,12890,13350,12770,13220,10601700,TCH
2021-09-07,13220,13220,12700,12730,8171000,TCH
2021-09-08,12730,12730,12230,12470,11728700,TCH
2021-09-09,12290,12490,12140,12140,13850600,TCH
2021-09-10,12960,12960,12960,12960,2452800,TCH
2021-09-13,13860,13860,13040,13040,16053900,TCH
2021-09-14,12920,13300,12660,13180,11365200,TCH
2021-09-15,13180,13440,13180,13440,7235800,TCH
2021-09-16,13260,13370,12920,12920,10089100,TCH
2021-09-17,12840,13000,12840,13000,8268700,TCH
2021-09-20,13070,13140,12880,13040,6135300,TCH
2021-09-21,12840,13140,12780,13000,7047600,TCH
2021-09-22,13000,13040,12880,13040,4641600,TCH
2021-09-23,13140,13370,13070,13330,22367000,TCH
2021-09-24,13370,13820,13260,13630,15939900,TCH
2021-09-27,13680,13720,13330,13520,8061100,TCH
2021-09-28,13440,13790,13100,13630,17649000,TCH
2021-09-29,13370,13440,13100,13440,12156900,TCH
2021-09-30,13370,13490,13140,13490,9729900,TCH
2021-10-01,13260,13520,13180,13520,12410500,TCH
2021-10-04,13440,13440,13140,13220,13891100,TCH
2021-10-05,13140,13330,13070,13260,11175800,TCH
2021-10-06,13300,13330,13140,13300,9667900,TCH
2021-10-07,13330,13330,13070,13070,4972300,TCH
2021-10-08,13070,13140,12880,12880,4597300,TCH
2021-10-11,12880,12920,12780,12840,4623500,TCH
2021-10-12,12880,13070,12880,13000,4003700,TCH
2021-10-13,13040,13070,12920,12920,9069500,TCH
2021-10-14,12920,13040,12880,12960,6255200,TCH
2021-10-15,12960,13000,12790,12880,6120300,TCH
2021-10-18,12880,12920,12660,12660,4559600,TCH
2021-10-19,12660,12700,12500,12500,4908800,TCH
2021-10-20,12500,12730,12500,12580,3350700,TCH
2021-10-21,12610,12660,12530,12580,2084800,TCH
2021-10-22,12610,13100,12530,12840,10344600,TCH
2021-10-25,12880,13040,12840,12840,4294200,TCH
2021-10-26,12780,12840,12700,12730,2654600,TCH
2021-10-27,12780,12960,12730,12790,5648500,TCH
2021-10-28,12880,13300,12790,13140,12470100,TCH
2021-10-29,13260,13600,13180,13490,10596800,TCH
2021-11-01,13600,14280,13600,14240,12784500,TCH
2021-11-02,14360,14690,14120,14390,10275000,TCH
2021-11-03,14390,14460,13600,13600,13562100,TCH
2021-11-04,13490,13930,13370,13600,7136400,TCH
2021-11-05,13680,14060,13630,13980,4875600,TCH
2021-11-08,14120,14540,14020,14280,7977500,TCH
2021-11-09,14360,14460,13980,14020,5826600,TCH
2021-11-10,14060,14580,13860,14460,9490800,TCH
2021-11-11,14730,15460,14580,15460,11892600,TCH
2021-11-12,16510,16510,16510,16510,3171900,TCH
2021-11-15,17630,17630,16620,17630,13292400,TCH
2021-11-16,17230,18430,17080,17610,19447800,TCH
2021-11-17,17610,18010,17270,17980,10150200,TCH
2021-11-18,18130,19230,18130,19230,10443600,TCH
2021-11-19,20350,20440,17980,19380,18315800,TCH
2021-11-22,19380,19380,18060,18060,11367700,TCH
2021-11-23,17080,18470,16990,17750,14210100,TCH
2021-11-24,18010,18130,16990,16990,8399600,TCH
2021-11-25,16780,18170,16390,18170,32436200,TCH
2021-11-26,18730,19120,17570,17750,12139200,TCH
2021-11-29,17450,18100,17300,17610,12092000,TCH
2021-11-30,17900,18820,17530,18400,21997200,TCH
2021-12-01,18510,19260,18130,18360,9755200,TCH
2021-12-02,18510,18730,18130,18130,8821600,TCH
2021-12-03,18290,18310,16880,16880,20222300,TCH
2021-12-06,16880,17040,15710,15710,17370800,TCH
2021-12-07,15860,16280,15680,15980,9493500,TCH
2021-12-08,16129,16280,15750,15750,9614600,TCH
2021-12-09,15710,16850,15650,16850,12833800,TCH
2021-12-10,16990,17040,16430,16620,10084500,TCH
2021-12-13,16920,17750,16620,17750,13826300,TCH
2021-12-14,18060,18660,17630,18130,15745100,TCH
2021-12-15,18130,18730,17830,18170,14284700,TCH
2021-12-16,18430,19230,18130,18960,18511100,TCH
2021-12-17,19150,19600,18890,19030,19955400,TCH
2021-12-20,18890,19330,18400,18660,15361200,TCH
2021-12-21,18510,19940,18290,19940,18649200,TCH
2021-12-22,20700,21300,20520,21300,22269500,TCH
2021-12-23,21350,21840,20440,21040,22117400,TCH
2021-12-24,20920,21840,20090,20880,14379900,TCH
2021-12-27,20920,22320,20320,22320,18229300,TCH
2021-12-28,22890,22970,21650,22180,12565600,TCH
2021-12-29,22180,22240,21530,21530,9407300,TCH
2021-12-30,21190,22060,21160,21260,11050700,TCH
2021-12-31,21260,21530,20550,20740,12983100,TCH
2022-01-04,21000,21870,20700,21230,10533500,TCH
2022-01-05,21530,22140,21260,21380,12020700,TCH
2022-01-06,21160,22200,21080,21910,16472200,TCH
2022-01-07,22140,22200,21530,21530,11140800,TCH
2022-01-10,21530,23000,20920,22200,22274200,TCH
2022-01-11,21530,21980,21160,21380,16555300,TCH
2022-01-12,21040,21460,19900,19900,25635900,TCH
2022-01-13,20310,20350,18520,18610,15361800,TCH
2022-01-14,17950,19750,17950,19420,10540400,TCH
2022-01-17,19420,19660,18070,18070,9776400,TCH
2022-01-18,17950,18030,16810,16810,9533000,TCH
2022-01-19,16650,17500,16650,17050,8403900,TCH
2022-01-20,17300,18240,17130,18240,4749700,TCH
2022-01-21,18610,18850,17990,18520,7814300,TCH
2022-01-24,18120,18280,17260,17260,7735400,TCH
